time,length
58.19,100
98.11,200
90.14,300
137.31,400
174.41,500
214.69,600
245.89,700
269.79,800
318.05,900
332.74,1000
51.17,100
76.77,200
99.86,300
140.23,400
164.58,500
213.17,600
255.67,700
278.15,800
310.50,900
335.61,1000
43.98,100
99.43,200
125.25,300
124.41,400
165.02,500
217.86,600
250.50,700
267.34,800
294.96,900
345.41,1000
47.58,100
79.44,200
100.67,300
125.44,400
186.24,500
213.22,600
210.00,700
273.97,800
306.08,900
360.31,1000
33.92,100
87.37,200
116.53,300
154.84,400
174.27,500
190.51,600
237.43,700
294.95,800
308.93,900
308.13,1000
